Country,Region,Degree of alcohol,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,image_link,productReviews,Classification,Special feature,Designation of origin,Regulated Designation,Grape variety,Sugar content
Canada,Quebec,42.3 %,Golden,750 ml,Distillerie le Pirate du Nord,,13831006,00627843869184,Made in Québec,13831006,Bootlegger Botanique #3,Products,43.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13831006-1_1606406166.png,0,,,,,,
Poland,,40 %,,1.14 L,Polmos Zyrardow,Charton Hobbs Inc,13561149,05901867806550,,13561149,Belvedere,Products,72,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13561149-1_1578537614.png,,,,,,,
United Kingdom,England,40 %,,750 ml,James Burrough Limited,Corby Spiritueux et Vins Limitée,570,05000329002216,,570,Beefeater,Products,24.25,true,simple,0,https://www.saq.com/media/catalog/product/5/7/570-1_1580602827.png,0,,,,,,
France,Normandie,40 %,Amber,750 ml,Calvados Boulard,Peter Mielzynski Agencies Limited,38414,03152900051051,,38414,Boulard Grand Solage,Products,49.25,true,simple,5,https://www.saq.com/media/catalog/product/3/8/38414-1_1580600428.png,1,,,Calvados Pays dAuge,Appellation origine controlée (AOC),,
Spain,,37.5 %,Orange,700 ml,Barcelona Brands S.L.,Société Commerciale Clément,14445377,08437014338133,,14445377,Botica Spanish Valencian Orange,Products,40.25,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14445377-1_1600969527.png,0,,,,,,
United Kingdom,England,43 %,White,700 ml,The Welsh Whisky Company Limited,Corporation Bella Vita International,12514009,05011594000340,,12514009,Brecon Gin Botanicals,Products,41.5,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12514009-1_1578344717.png,,London dry gin,,,London dry gin,,
United Kingdom,England,40 %,,750 ml,Ginuine Ltd.,Société Commerciale Clément,12502382,05010296169164,,12502382,Brockmans,Products,47.5,true,simple,5,https://www.saq.com/media/catalog/product/1/2/12502382-1_1578344417.png,2,London dry gin,,,London dry gin,,
Canada,Quebec,40 %,,750 ml,Montbel Vins et Spiritueux Inc,Vertigo Vins et Spiritueux Inc.,13692966,00628075801003,Bottled in Québec,13692966,Bold,Products,24.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13692966-1_1578540916.png,0,,,,,,
United Kingdom,England,40 %,,750 ml,Bombay Spirits Company,Bacardi Canada Inc.,316844,00620213190000,,316844,Bombay Sapphire,Products,28.5,true,simple,0,https://www.saq.com/media/catalog/product/3/1/316844-1_1580593810.png,0,London dry gin,,,,,
Czech Republic,,35 %,Amber,700 ml,Stock Plzen-Bozkov,Charton Hobbs Inc,13854831,08594005018976,,13854831,Black Fox Black Fox,Products,28.15,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13854831-1_1578543622.png,,,,,,,
